=== Symmetry Strategy Backtest: NSE:NIFTY ===
Traceback (most recent call last):
  File "d:\py_code_workspace\.venv\Lib\site-packages\tvDatafeed\main.py", line 46, in __init__
    basecookies = rookiepy.brave(['https://www.tradingview.com','https://www.in.tradingview.com'])
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: Chrome cookies from version v130 can be decrypted only when running as admin due to appbound encryption!

Location:
    rookie-rs\src\browser\chromium.rs:52:9
2026-02-28 20:55:29,329 - INFO - TradingViewAPI initialized with tvDatafeed
2026-02-28 20:55:29,607 - INFO - Quote session generated: qs_pylzeprrsfgo, Chart session generated: cs_mdehyaslcpxq
2026-02-28 20:55:29,628 - DEBUG - Sending message: ~m~54~m~{"m":"set_auth_token","p":["unauthorized_user_token"]}
2026-02-28 20:55:29,629 - DEBUG - Sending message: ~m~34~m~{"m":"set_locale","p":["en","US"]}
2026-02-28 20:55:29,629 - DEBUG - Sending message: ~m~55~m~{"m":"chart_create_session","p":["cs_mdehyaslcpxq",""]}
2026-02-28 20:55:29,629 - DEBUG - Sending message: ~m~52~m~{"m":"quote_create_session","p":["qs_pylzeprrsfgo"]}
2026-02-28 20:55:29,629 - DEBUG - Sending message: ~m~307~m~{"m":"quote_set_fields","p":["qs_pylzeprrsfgo","ch","chp","current_session","description","local_description","language","exchange","fractional","is_tradable","lp","lp_time","minmov","minmove2","original_name","pricescale","pro_name","short_name","type","update_mode","volume","currency_code","rchp","rtc"]}
2026-02-28 20:55:29,629 - DEBUG - Sending message: ~m~51~m~{"m":"quote_hibernate_all","p":["qs_pylzeprrsfgo"]}
2026-02-28 20:55:29,771 - INFO - Registered ILiveStreamProvider provider: tradingview (priority: 10)
2026-02-28 20:55:29,771 - INFO - Registered ILiveStreamProvider provider: upstox (priority: 20)
2026-02-28 20:55:29,771 - INFO - Registered IOptionsDataProvider provider: upstox (priority: 30)
2026-02-28 20:55:29,771 - INFO - Registered IOptionsDataProvider provider: trendlyne (priority: 20)
2026-02-28 20:55:29,771 - INFO - Registered IOptionsDataProvider provider: nse (priority: 5)
2026-02-28 20:55:29,771 - INFO - Registered IHistoricalDataProvider provider: upstox (priority: 30)
2026-02-28 20:55:29,771 - INFO - Registered IHistoricalDataProvider provider: tradingview (priority: 20)
Error obtaining cookies: Chrome cookies from version v130 can be decrypted only when running as admin due to appbound encryption!

Location:
    rookie-rs\src\browser\chromium.rs:52:9
 __AUTH -------------------
 sessionid = None
 TOKEN : None
Fetching 500 index candles...
2026-02-28 20:55:29,771 - INFO - Upstox fetching historical candles for NSE:NIFTY (interval=1, count=500, from=None, to=None)
2026-02-28 20:55:30,432 - INFO - Fetching historical candles for NSE:NIFTY (bars=500)
2026-02-28 20:55:30,432 - INFO - Mapped NSE:NIFTY -> NSE:NIFTY
2026-02-28 20:55:30,432 - INFO - Formatted symbol: NSE:Nifty
2026-02-28 20:55:30,432 - DEBUG - creating websocket connection
2026-02-28 20:55:30,633 - DEBUG - getting data for NSE:Nifty...
2026-02-28 20:55:30,987 - INFO - Retrieved 500 candles via tvDatafeed for NSE:NIFTY
2026-02-28 20:55:30,989 - INFO - Merged TradingView volume for index NSE:NIFTY (500/1875 candles matched)
2026-02-28 20:55:30,989 - INFO - Upstox fetching option chain for NSE:NIFTY (NSE_INDEX|Nifty 50) reference=None
2026-02-28 20:55:32,000 - DEBUG - Registered mapping: NSE:NIFTY260302C23850 <-> NSE_FO|54789
2026-02-28 20:55:32,000 - DEBUG - Registered mapping: NIFTY260302C23850 <-> NSE_FO|54789
2026-02-28 20:55:32,000 - DEBUG - Registered mapping: NSE:NIFTY260302P23850 <-> NSE_FO|54790
2026-02-28 20:55:32,000 - DEBUG - Registered mapping: NIFTY260302P23850 <-> NSE_FO|54790
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C23900 <-> NSE_FO|54791
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C23900 <-> NSE_FO|54791
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P23900 <-> NSE_FO|54792
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P23900 <-> NSE_FO|54792
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C23950 <-> NSE_FO|54793
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C23950 <-> NSE_FO|54793
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P23950 <-> NSE_FO|54794
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P23950 <-> NSE_FO|54794
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C24000 <-> NSE_FO|54795
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C24000 <-> NSE_FO|54795
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P24000 <-> NSE_FO|54796
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P24000 <-> NSE_FO|54796
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C24050 <-> NSE_FO|54797
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C24050 <-> NSE_FO|54797
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P24050 <-> NSE_FO|54798
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P24050 <-> NSE_FO|54798
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C24100 <-> NSE_FO|54799
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C24100 <-> NSE_FO|54799
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P24100 <-> NSE_FO|54800
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P24100 <-> NSE_FO|54800
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C24150 <-> NSE_FO|54801
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C24150 <-> NSE_FO|54801
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P24150 <-> NSE_FO|54802
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P24150 <-> NSE_FO|54802
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C24200 <-> NSE_FO|54803
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C24200 <-> NSE_FO|54803
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P24200 <-> NSE_FO|54804
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P24200 <-> NSE_FO|54804
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C24250 <-> NSE_FO|54805
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C24250 <-> NSE_FO|54805
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P24250 <-> NSE_FO|54806
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P24250 <-> NSE_FO|54806
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C24300 <-> NSE_FO|54807
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C24300 <-> NSE_FO|54807
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P24300 <-> NSE_FO|54808
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P24300 <-> NSE_FO|54808
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302C24350 <-> NSE_FO|54809
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302C24350 <-> NSE_FO|54809
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NSE:NIFTY260302P24350 <-> NSE_FO|54810
2026-02-28 20:55:32,001 - DEBUG - Registered mapping: NIFTY260302P24350 <-> NSE_FO|54810
